Source,Year,Mean
GISTEMP,1880,0.12
GISTEMP,1881,0.15
GISTEMP,1882,0.18
GISTEMP,1883,0.22
GISTEMP,1884,0.25
GISTEMP,1885,0.28
GISTEMP,1886,0.31
GISTEMP,1887,0.34
GISTEMP,1888,0.37
GISTEMP,1889,0.40
GISTEMP,1890,0.43
GISTEMP,1891,0.46
GISTEMP,1892,0.49
GISTEMP,1893,0.52
GISTEMP,1894,0.55
GISTEMP,1895,0.58
GISTEMP,1896,0.61
GISTEMP,1897,0.64
GISTEMP,1898,0.67
GISTEMP,1899,0.70
GISTEMP,1900,0.73
GISTEMP,1901,0.76
GISTEMP,1902,0.79
GISTEMP,1903,0.82
GISTEMP,1904,0.85
GISTEMP,1905,0.88
GISTEMP,1906,0.91
GISTEMP,1907,0.94
GISTEMP,1908,0.97
GISTEMP,1909,1.00
GISTEMP,1910,1.03
GISTEMP,1911,1.06
GISTEMP,1912,1.09
GISTEMP,1913,1.12
GISTEMP,1914,1.15
GISTEMP,1915,1.18
GISTEMP,1916,1.21
GISTEMP,1917,1.24
GISTEMP,1918,1.27
GISTEMP,1919,1.30
GISTEMP,1920,1.33
GISTEMP,1921,1.36
GISTEMP,1922,1.39
GISTEMP,1923,1.42
GISTEMP,1924,1.45
GISTEMP,1925,1.48
GISTEMP,1926,1.51
GISTEMP,1927,1.54
GISTEMP,1928,1.57
GISTEMP,1929,1.60
GISTEMP,1930,1.63
GISTEMP,1931,1.66
GISTEMP,1932,1.69
GISTEMP,1933,1.72
GISTEMP,1934,1.75
GISTEMP,1935,1.78
GISTEMP,1936,1.81
GISTEMP,1937,1.84
GISTEMP,1938,1.87
GISTEMP,1939,1.90
GISTEMP,1940,1.93
GISTEMP,1941,1.96
GISTEMP,1942,1.99
GISTEMP,1943,2.02
GISTEMP,1944,2.05
GISTEMP,1945,2.08
GISTEMP,1946,2.11
GISTEMP,1947,2.14
GISTEMP,1948,2.17
GISTEMP,1949,2.20
GISTEMP,1950,2.23
GISTEMP,1951,2.26
GISTEMP,1952,2.29
GISTEMP,1953,2.32
GISTEMP,1954,2.35
GISTEMP,1955,2.38
GISTEMP,1956,2.41
GISTEMP,1957,2.44
GISTEMP,1958,2.47
GISTEMP,1959,2.50
GISTEMP,1960,2.53
GISTEMP,1961,2.56
GISTEMP,1962,2.59
